"filename", "language", "JSON with Comments", "HTML", "JavaScript", "TypeScript", "Markdown", "TypeScript JSX", "XML", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\user\Desktop\mallikni\client\src\components\new\RadioInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"c:\Users\user\Desktop\mallikni\client\src\components\new\SelectInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\user\Desktop\mallikni\client\src\components\property\ContactTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 0, 13, 6, 74
"c:\Users\user\Desktop\mallikni\client\src\components\property\DescriptionTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\user\Desktop\mallikni\client\src\components\property\DetailsTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 4, 63
"c:\Users\user\Desktop\mallikni\client\src\components\property\ImagesPopup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 0, 4, 7, 69
"c:\Users\user\Desktop\mallikni\client\src\components\property\LocationTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 27
"c:\Users\user\Desktop\mallikni\client\src\components\property\PropertyHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 1, 9, 79
"c:\Users\user\Desktop\mallikni\client\src\hooks\useAxios.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\user\Desktop\mallikni\client\src\icons\IconArrowRight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 3, 22
"c:\Users\user\Desktop\mallikni\client\src\icons\IconBath.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 3, 22
